breeding_biome,species_code,common_name,season
Arctic Tundra,amepip,American Pipit,nonbreeding
Arctic Tundra,amtspa,American Tree Sparrow,nonbreeding
Arctic Tundra,bkbplo,Black-bellied Plover,nonbreeding
Arctic Tundra,blksco2,Black Scoter,nonbreeding
Arctic Tundra,brant,Brant,nonbreeding
Arctic Tundra,cacgoo1,Cackling Goose,nonbreeding
Arctic Tundra,comred,Redpoll (Common),nonbreeding
Arctic Tundra,dunlin,Dunlin,nonbreeding
Arctic Tundra,gcrfin,Gray-crowned Rosy-Finch,nonbreeding
Arctic Tundra,gocspa,Golden-crowned Sparrow,nonbreeding
Arctic Tundra,gresca,Greater Scaup,nonbreeding
Arctic Tundra,gwfgoo,Greater White-fronted Goose,nonbreeding
Arctic Tundra,harspa,Harris's Sparrow,nonbreeding
Arctic Tundra,laplon,Lapland Longspur,nonbreeding
Arctic Tundra,lbbgul,Lesser Black-backed Gull,nonbreeding
Arctic Tundra,lobdow,Long-billed Dowitcher,nonbreeding
Arctic Tundra,norshr4,Northern Shrike,nonbreeding
Arctic Tundra,pacloo,Pacific Loon,nonbreeding
Arctic Tundra,pursan,Purple Sandpiper,nonbreeding
Arctic Tundra,rebmer,Red-breasted Merganser,nonbreeding
Arctic Tundra,redkno,Red Knot,nonbreeding
Arctic Tundra,retloo,Red-throated Loon,nonbreeding
Arctic Tundra,rolhaw,Rough-legged Hawk,nonbreeding
Arctic Tundra,rudtur,Ruddy Turnstone,nonbreeding
Arctic Tundra,sander,Sanderling,nonbreeding
Arctic Tundra,snobun,Snow Bunting,nonbreeding
Arctic Tundra,snogoo,Snow Goose,nonbreeding
Arctic Tundra,snoowl1,Snowy Owl,nonbreeding
Arctic Tundra,surfbi,Surfbird,nonbreeding
Arctic Tundra,tunswa,Tundra Swan,nonbreeding
Aridlands,abetow,Abert's Towhee,resident
Aridlands,allhum,Allen's Hummingbird,breeding
Aridlands,altori,Altamira Oriole,resident
Aridlands,annhum,Anna's Hummingbird,breeding
Aridlands,astfly,Ash-throated Flycatcher,breeding
